result;epochs;subset;metric;model;dataset;augmentation
0.36622245002562787;22;train;acc;AlexNet;Ramas224Descrete;true
0.38723731419784724;23;train;acc;AlexNet;Ramas224Descrete;true
0.38185545873910814;24;train;acc;AlexNet;Ramas224Descrete;true
0.39133777549974375;25;train;acc;AlexNet;Ramas224Descrete;true
0.40056381342901076;26;train;acc;AlexNet;Ramas224Descrete;true
0.4044079958995387;27;train;acc;AlexNet;Ramas224Descrete;true
0.4082521783700666;28;train;acc;AlexNet;Ramas224Descrete;true
0.424910302409021;29;train;acc;AlexNet;Ramas224Descrete;true
0.42644797539723217;30;train;acc;AlexNet;Ramas224Descrete;true
0.4390056381342901;31;train;acc;AlexNet;Ramas224Descrete;true
0.4415684264479754;32;train;acc;AlexNet;Ramas224Descrete;true
0.4536135315222963;33;train;acc;AlexNet;Ramas224Descrete;true
0.4666837519220912;34;train;acc;AlexNet;Ramas224Descrete;true
0.47283444387493595;35;train;acc;AlexNet;Ramas224Descrete;true
0.47360328036904153;36;train;acc;AlexNet;Ramas224Descrete;true
0.4787288569964121;37;train;acc;AlexNet;Ramas224Descrete;true
0.22643442622950818;1;valid;acc;AlexNet;Ramas224Descrete;true
0.28688524590163933;2;valid;acc;AlexNet;Ramas224Descrete;true
0.26229508196721313;3;valid;acc;AlexNet;Ramas224Descrete;true
0.29918032786885246;4;valid;acc;AlexNet;Ramas224Descrete;true
0.3012295081967213;5;valid;acc;AlexNet;Ramas224Descrete;true
0.305327868852459;6;valid;acc;AlexNet;Ramas224Descrete;true
0.3094262295081967;7;valid;acc;AlexNet;Ramas224Descrete;true
0.3012295081967213;8;valid;acc;AlexNet;Ramas224Descrete;true
0.319672131147541;9;valid;acc;AlexNet;Ramas224Descrete;true
0.3237704918032787;10;valid;acc;AlexNet;Ramas224Descrete;true
0.28688524590163933;11;valid;acc;AlexNet;Ramas224Descrete;true
0.3176229508196721;12;valid;acc;AlexNet;Ramas224Descrete;true
0.33811475409836067;13;valid;acc;AlexNet;Ramas224Descrete;true
0.3135245901639344;14;valid;acc;AlexNet;Ramas224Descrete;true
0.3432377049180328;15;valid;acc;AlexNet;Ramas224Descrete;true
0.319672131147541;16;valid;acc;AlexNet;Ramas224Descrete;true
0.33709016393442626;17;valid;acc;AlexNet;Ramas224Descrete;true
0.35348360655737704;18;valid;acc;AlexNet;Ramas224Descrete;true
0.3555327868852459;19;valid;acc;AlexNet;Ramas224Descrete;true
0.33401639344262296;20;valid;acc;AlexNet;Ramas224Descrete;true
0.3483606557377049;21;valid;acc;AlexNet;Ramas224Descrete;true
0.3411885245901639;22;valid;acc;AlexNet;Ramas224Descrete;true
0.36065573770491804;23;valid;acc;AlexNet;Ramas224Descrete;true
0.3442622950819672;24;valid;acc;AlexNet;Ramas224Descrete;true
0.3862704918032787;25;valid;acc;AlexNet;Ramas224Descrete;true
0.36270491803278687;26;valid;acc;AlexNet;Ramas224Descrete;true
0.38729508196721313;27;valid;acc;AlexNet;Ramas224Descrete;true
0.38831967213114754;28;valid;acc;AlexNet;Ramas224Descrete;true
0.38934426229508196;29;valid;acc;AlexNet;Ramas224Descrete;true
